Animal_ID,wake_epochs,rem_epochs,nrem_epochs,artifact_epochs,seizure_epochs,noise_epochs,packet_loss_epochs,total_epochs,clean_epochs,noisy_epochs
S7063,35,12105,590,10241,6815,0,4774,34560,12730,21830
S7064,7,10069,1082,18616,4186,0,600,34560,11158,23402
S7068,123,0,28,0,2,0,17127,17280,151,17129
S7069,75,11785,888,18641,2094,0,1077,34560,12748,21812
S7070,5,12037,2113,19316,0,0,1089,34560,14155,20405
S7071,605,12589,1346,16431,0,0,3589,34560,14540,20020
S7072,7,11309,634,19331,3106,0,173,34560,11950,22610
S7074,1366,14,79,0,64,0,15757,17280,1459,15821
S7075,1217,4,48,0,337,0,15674,17280,1269,16011
S7076,702,11,84,0,118,0,16365,17280,797,16483
S7083,6,5837,154,13308,0,0,15255,34560,5997,28563
S7086,74,10995,218,15241,78,0,7954,34560,11287,23273
S7088,486,5,33,0,11,0,16745,17280,524,16756
S7091,4,10188,704,19612,0,0,4052,34560,10896,23664
S7092,290,17,284,0,63,0,16626,17280,591,16689
S7098,24,10952,814,17104,0,0,5666,34560,11790,22770
S7101,21,10686,1091,18833,0,0,3929,34560,11798,22762
